"id","authors","year","title","WI","number","version","media","comment","newname","publisher","subtitle","publishdate","pagecount","category","language","sale","price","currency","mature","isbn10","isbn13","matching"
575,"Oberweis, Andreas",0,"Modellierung und AusfÃ_hrung von Workflow mit Petri-Netzen",12,262,"a","","","Modellierung und Ausfuhrung verteilter betrieblicher Ablaufe in offentlichen Weitverkehrsnetzen",NA,NA,"1996","40",NA,"de","NOT_FOR_SALE",NA,NA,"NOT_MATURE",NA,NA,"3"
576,"Stallings, William",0,"The Open Systems (OSI) Model and OSI-Related Standards",70,539,"1","","","The Open Systems Interconnection (OSI) Model and OSI-related Standards",NA,NA,"1990","337",NA,"en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","0672226979","9780672226977","0"
577,"Reinwald, Berthold",0,"Workflow-Management in verteilten Systemen 425 1993",17,158,"c","","","Workflow-Management in verteilten Systemen","Springer-Verlag","Entwurf und Betrieb geregelter arbeitsteiliger Anwendungssysteme","2013-03-13","276","Business & Economics","de","FOR_SALE","19.99","EUR","NOT_MATURE",NA,"9783322864512","3"
578,"Helal, A.",0,"Replication techniques in distributed systems",19,37,"","","","Replication Techniques in Distributed Systems","Springer Science & Business Media",NA,"1996-08-31","156","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","0792398009","9780792398004","0"
579,"Wilhelm, Reinhard",0,"Informatik : Grundlagen, Anwendungen, Perspektiven 403 Org.-Ausg.",10,212,"","","","Informatik",NA,"Grundlagen - Anwendungen - Perspektiven","1996","143","Information science","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3406403387","9783406403385","3"
580,"Aho, Ullmann",0,"Informatik - Datenstrukturen und Konzepte der Abstraktion",15,400,"","","","Informatik",NA,"Datenstrukturen und Konzepte der Abstraktion","1996","1042","Data structures (Computer science)","de","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3826602439","9783826602436","0"
581,"Gabriel, Roland",0,"Datenbanksysteme",15,383,"b","","","Datenbanksysteme","Springer-Verlag","Konzeptionelle Datenmodellierung und Datenbankarchitekturen","2013-03-07","366","Computers","de","FOR_SALE","22.99","EUR","NOT_MATURE",NA,"9783642577475","0"
582,"Zahedi, Fatemeh",0,"Quality information systems",12,256,"","","","Quality Information Systems",NA,NA,"1995","420","Business & Economics","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","0789500612","9780789500618","0"
583,"Beutelspacher, Albrecht",0,"Moderne Verfahren in der Kryptologie",15,386,"","","","Moderne Verfahren der Kryptographie","Springer-Verlag","Von RSA zu Zero-Knowledge","2010-12-01","136","Computers","de","FOR_SALE","16.99","EUR","NOT_MATURE",NA,"9783834891037","0"
585,"Revell, Norman",0,"Databases and Expert Systems Applications",90,978,"","LNCS","","Intelligent databases","John Wiley & Sons Inc","object-oriented, deductive hypermedia technologies","1989","479","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE",NA,NA,"2"
587,"Jeffery, Keith G.",0,"SOFSEM'96: Theory and Practice of Informatics",90,1175,"","LNCS","","SOFSEM '96: Theory and Practice of Informatics","Springer","23rd Seminar on Current Trends in Theory and Practice of Informatics, Milovy, Czech Republic, November 23 - 30, 1996. Proceedings","1996-11-06","500","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3540619941","9783540619949","0"
588,"Greenlaw, Raymond",0,"Limits to parallel computation",19,36,"","","","Limits to Parallel Computation : P-Completeness Theory","Oxford University Press, USA","P-Completeness Theory","1995-03-31","336","Computers","en","FOR_SALE","157.65","EUR","NOT_MATURE",NA,"9780195358902","0"
589,"Popien, Claudia",0,"Verteilte Verarbeitung in offenen Systemen",19,64,"a","","","Verteilte Verarbeitung in Offenen Systemen","Springer-Verlag","Das ODP-Referenzmodell","2013-12-01","270","Technology & Engineering","de","FOR_SALE","39.99","EUR","NOT_MATURE",NA,"9783663124344","2"
590,"Dalheimer, Matthias Kalle",0,"Latex - kurz und gut",14,664,"","","","Latex","O'Reilly Germany","kurz & gut","2005","78",NA,"de","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3897215004","9783897215009","0"
591,"Popien, Claudia",0,"Dienstvermittlung in verteilten Systemen",11,535,"","","","Dienstvermittlung in Verteilten Systemen","Springer-Verlag","Dienstalgebra, Dienstmanagement und Dienstanfrageanalyse","2013-07-02","222","Technology & Engineering","de","FOR_SALE","39.99","EUR","NOT_MATURE",NA,"9783663097969","2"
592,"Weerawarana, Sanjiva",0,"Web Services Platform Architecture",13,619,"","","","Mobile Web Services","John Wiley & Sons","Architecture and Implementation","2007-01-11","338","Technology & Engineering","en","FOR_SALE","77.99","EUR","NOT_MATURE",NA,"9780470032596","2"
593,"Ehrig, Hartmut",0,"Mathematisch-strukturelle Grundlagen der Informatik",54,26,"","","","Mathematisch-strukturelle Grundlagen der Informatik","Springer-Verlag",NA,"2013-03-08","534","Computers","de","FOR_SALE","36.99","EUR","NOT_MATURE",NA,"9783642979866","0"
594,"Knuth, Donald E.",0,"The art of computer programming Vol. 1",24,20,"1e","","","The Art of Computer Programming, Volume 1, Fascicle 1","Addison-Wesley Professional","MMIX -- A RISC Computer for the New Millennium","2005-02-09","144","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE",NA,"9780321657312","0"
598,"Reeves, Steve",0,"Logic for computer science",13,409,"","","","Logic for computer science","Addison Wesley Publishing Company",NA,"1990","260","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE",NA,NA,"0"
600,"Vossen, Gottfried",0,"GeschÃ_ftsprozessmodellierung und Workflow-Management",74,14,"a","","","Rechneraufbau und Rechnerstrukturen","Oldenbourg Verlag",NA,"2006","564","Computer architecture","de","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3486578499","9783486578492","4"
601,"Khoshafian/Abnous",0,"Object Orientation",15,169,"c","","","Guide to C# and Object Orientation","Springer Science & Business Media",NA,"2002-08-30","476","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","1852335815","9781852335816","2"
603,"Mowbray, Thomas J.",0,"The essential CORBA",15,395,"a","","","The Essential CORBA","Wiley","Systems Integration Using Distributed Objects","1995-08-25","336","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","0471106119","9780471106111","0"
606,"Apers, Peter",0,"Advances in Database Technology - EDBT '96",90,1057,"","LNCS","","Advances in Database Technology EDBT '96","Springer Science & Business Media","5th International Conference on Extending Database Technology, Avignon, France, March 25-29 1996, Proceedings.","1996-03-18","636","Business & Economics","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","354061057X","9783540610571","0"
607,"Wegener, Ingo",0,"Effiziente Algorithmen Ã¿Ã¿r grundlegende Funktionen",15,193,"b","","","Effiziente Algorithmen fur grundlegende Funktionen","Springer-Verlag",NA,"2013-04-17","263","Technology & Engineering","de","FOR_SALE","36.99","EUR","NOT_MATURE",NA,"9783322947116","0"
608,"Adamo, Jean-Marc",0,"Data mining for association rules and sequential patterns",15,567,"a","","","Data Mining for Association Rules and Sequential Patterns","Springer Science & Business Media","Sequential and Parallel Algorithms","2001-01-01","254","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","0387950486","9780387950488","0"
